Environment:
	Python: 3.8.10
	PyTorch: 1.9.0+cu111
	Torchvision: 0.10.0+cu111
	CUDA: 11.1
	CUDNN: 8005
	NumPy: 1.20.2
=======hyper-parameter used========
algorithm:GCN2
dataset:cora
gpu_id:0
lr:0.01
max_epoch:400
weight_decay:0.0005
n_hidden:16
n_layers:1
dropout:0.5
net:GCN
seed:0
output:./train_output_dataset_cora_net_GCN_alg_GCN2_seed0/train_output_2022-04-26_net_GCN_epoch_400_alg_GCN2
sd_reg:0.1

  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
D:\software\Anaconda3\envs\pytorch\lib\site-packages\dgl\data\utils.py:285: UserWarning: Property dataset.num_labels will be deprecated, please use dataset.num_classes instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
===========model structure===========
OrderedDict([('layers', ModuleList(
  (0): GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x000001EC9203AEE0>)
  (1): GraphConv(in=16, out=7, normalization=both, activation=None)
)), ('dropout', Dropout(p=0.5, inplace=False))])
===========start training===========
epoch 201 | loss:0.5471 | train_acc:1.0000 | val_acc:0.7660 | test_acc:0.7880
epoch 202 | loss:0.5403 | train_acc:1.0000 | val_acc:0.7680 | test_acc:0.7860
epoch 203 | loss:0.5111 | train_acc:1.0000 | val_acc:0.7660 | test_acc:0.7800
epoch 204 | loss:0.5303 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7730
epoch 205 | loss:0.5316 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7770
epoch 206 | loss:0.5297 | train_acc:1.0000 | val_acc:0.7680 | test_acc:0.7760
epoch 207 | loss:0.5080 | train_acc:1.0000 | val_acc:0.7760 | test_acc:0.7820
epoch 208 | loss:0.5214 | train_acc:1.0000 | val_acc:0.7780 | test_acc:0.7840
epoch 209 | loss:0.5022 | train_acc:1.0000 | val_acc:0.7780 | test_acc:0.7840
epoch 210 | loss:0.5481 | train_acc:1.0000 | val_acc:0.7720 | test_acc:0.7820
epoch 211 | loss:0.5577 | train_acc:1.0000 | val_acc:0.7680 | test_acc:0.7780
epoch 212 | loss:0.5162 | train_acc:1.0000 | val_acc:0.7660 | test_acc:0.7760
epoch 213 | loss:0.5181 | train_acc:1.0000 | val_acc:0.7620 | test_acc:0.7730
epoch 214 | loss:0.4642 | train_acc:1.0000 | val_acc:0.7620 | test_acc:0.7710
epoch 215 | loss:0.5384 | train_acc:1.0000 | val_acc:0.7600 | test_acc:0.7730
epoch 216 | loss:0.5316 | train_acc:1.0000 | val_acc:0.7620 | test_acc:0.7750
epoch 217 | loss:0.5804 | train_acc:1.0000 | val_acc:0.7660 | test_acc:0.7750
epoch 218 | loss:0.5905 | train_acc:1.0000 | val_acc:0.7680 | test_acc:0.7760
epoch 219 | loss:0.5331 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7770
epoch 220 | loss:0.5343 | train_acc:1.0000 | val_acc:0.7740 | test_acc:0.7770
epoch 221 | loss:0.5186 | train_acc:1.0000 | val_acc:0.7740 | test_acc:0.7770
epoch 222 | loss:0.5814 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7780
epoch 223 | loss:0.5055 | train_acc:1.0000 | val_acc:0.7720 | test_acc:0.7780
epoch 224 | loss:0.5306 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7800
epoch 225 | loss:0.5020 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7790
epoch 226 | loss:0.5511 | train_acc:1.0000 | val_acc:0.7640 | test_acc:0.7780
